City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kingston,17.997,-76.7936,26.53,74,20,3.6,JM,1733305270
83,nova sintra,14.8667,-24.7167,25.6,55,0,4.29,CV,1733305271
84,guerrero negro,27.9769,-114.0611,15.14,85,0,4.69,MX,1733305273
85,anatuya,-28.4606,-62.8347,14.71,72,0,2.97,AR,1733305274
86,okha,53.5739,142.9478,-19.58,84,5,4.81,RU,1733305275
87,san patricio,28.017,-97.5169,20.97,90,100,3.48,US,1733305276
88,princeton,25.5384,-80.4089,13.34,72,0,5.66,US,1733305277
89,acapulco de juarez,16.8634,-99.8901,24.9,83,40,1.54,MX,1733305278
90,udachny,66.4167,112.4,-29.33,98,24,3.43,RU,1733305279
91,freetown,8.484,-13.2299,28.45,67,99,3.11,SL,1733305280
92,quixere,-5.0742,-37.9886,26.83,71,66,3.63,BR,1733305281
93,edinburgh of the seven seas,-37.0676,-12.3116,17.11,97,100,12.41,SH,1733305283
94,vila franca do campo,37.7167,-25.4333,18.27,99,87,1.7,PT,1733305284
95,port macquarie,-31.4333,152.9167,22.82,92,99,2.24,AU,1733305285
96,rio grande,-32.035,-52.0986,16.71,58,0,1.83,BR,1733305232
97,port elizabeth,-33.918,25.5701,24.62,67,40,4.63,ZA,1733305201
98,ilulissat,69.2167,-51.1,-9.99,62,75,3.6,GL,1733305288
99,vegreville,53.5001,-112.0518,-11.97,74,100,4.63,CA,1733305289
100,madang,-5.2246,145.7966,26.4,88,89,1.28,PG,1733305290
101,stanley,54.868,-1.6985,1.01,96,54,2.06,GB,1733305101
102,bamboo flat,11.7,92.7167,30.05,70,75,4.12,IN,1733305292
103,trunovskoye,45.4878,42.1358,5.21,82,100,6.79,RU,1733305293
104,acarau,-2.8856,-40.12,25.62,84,99,4.03,BR,1733305295
105,fortuna,40.5982,-124.1573,5.51,100,0,3.09,US,1733305296
106,zhigalovo,54.8097,105.1578,-18.34,100,100,1.18,RU,1733305297
107,rabo de peixe,37.8,-25.5833,17.77,99,75,3.09,PT,1733305298
108,kangding,30.0513,101.9603,4.08,94,85,2.39,CN,1733305299
109,cabo san lucas,22.8909,-109.9124,19.86,87,63,2.18,MX,1733305300
110,baidoa,3.1138,43.6498,32.5,26,66,6.98,SO,1733305301
111,chibougamau,49.9168,-74.3659,-16.21,85,20,2.06,CA,1733305302
112,smithers,54.7804,-127.1743,2.18,100,100,1.54,CA,1733305304
113,stornoway,58.2093,-6.3865,3.98,87,20,1.03,GB,1733305305
114,enewetak,11.3474,162.3373,28.17,81,30,7.31,MH,1733305306
115,oak grove,45.4168,-122.6401,3.81,78,0,8.05,US,1733305308
116,bunia,1.5667,30.25,26.39,47,70,2.98,CD,1733305309
117,nova vicosa,-17.8919,-39.3719,26.19,73,88,4.77,BR,1733305310
118,amungan,15.3652,119.9582,27.65,80,100,1.51,PH,1733305311
119,mayahi,13.9553,7.6712,26.16,14,24,7.69,NE,1733305312
120,souillac,-20.5167,57.5167,28.21,69,40,5.14,MU,1733305313
121,afif,23.9065,42.9172,24.11,33,1,5.86,SA,1733305314
122,gerash,27.6652,54.1371,19.08,22,0,1.32,IR,1733305315
123,matoury,4.8483,-52.3317,25.98,83,40,3.09,GF,1733305316
124,fortaleza,-3.7227,-38.5247,26.07,89,75,3.09,BR,1733305084
125,kolondieba,11.0882,-6.8926,30.32,17,3,3.72,ML,1733305318
126,rawa mazowiecka,51.7644,20.2549,4.82,85,100,3.0,PL,1733305320
127,iskateley,67.6803,53.1512,-6.96,95,100,2.13,RU,1733305322
128,urzhar,47.093,81.6294,-1.3,87,71,1.94,KZ,1733305323
129,carbonear,47.7332,-53.2148,-2.03,81,36,4.54,CA,1733305324
130,manta,-0.95,-80.7333,22.88,88,75,5.39,EC,1733305325
131,lihue,21.9789,-159.3672,20.81,83,0,3.09,US,1733305326
132,pampas,-12.4,-74.9,7.45,84,100,1.15,PE,1733305327
133,mwanza,-2.5167,32.9,23.03,78,75,2.06,TZ,1733305328
134,tanabi,-20.6264,-49.6492,22.05,94,100,1.53,BR,1733305329
135,atafu village,-8.5421,-172.5159,28.62,74,100,7.06,TK,1733305330
136,mpika,-11.8343,31.4529,30.06,30,97,1.84,ZM,1733305332
137,thompson,55.7435,-97.8558,-17.91,71,100,7.2,CA,1733305333
138,sampao,7.5939,125.6611,25.26,85,67,3.1,PH,1733305334
139,longyearbyen,78.2186,15.6401,-10.09,73,75,9.26,SJ,1733305335
140,east end,34.5507,-92.341,0.93,84,5,3.03,US,1733305336
141,khandyga,62.6667,135.6,-27.29,100,99,0.69,RU,1733305337
142,rawah,34.4816,41.9093,15.47,35,0,1.79,IQ,1733305338
143,zyryanskoye,56.8306,86.6258,-5.27,91,100,5.87,RU,1733305339
144,sechura,-5.5569,-80.8222,19.66,84,64,2.98,PE,1733305340
145,tazacorte,28.629,-17.9293,21.54,70,75,4.92,ES,1733305341
146,bumba,2.1833,22.4667,33.49,30,36,1.57,CD,1733305344
147,portland,45.5234,-122.6762,4.08,77,0,8.05,US,1733305345
148,tashir,41.1207,44.2846,2.66,57,0,1.67,AM,1733305346
149,weno,7.4515,151.8468,24.97,94,100,3.09,FM,1733305347
150,nago,26.5881,127.9761,18.8,63,0,5.27,JP,1733305348
151,kolokani,13.5728,-8.0339,27.63,13,80,7.32,ML,1733305349
152,hammerfest,70.6634,23.6821,-0.75,93,100,7.2,NO,1733305350
153,port-vila,-17.7338,168.3219,25.78,94,75,1.54,VU,1733305351
154,gudari,19.35,83.7833,30.61,52,23,1.97,IN,1733305352
155,peniche,39.3558,-9.3811,17.34,89,94,5.77,PT,1733305353
156,isafjordur,66.0755,-23.124,-0.98,86,75,2.06,IS,1733305354
157,college,64.8569,-147.8028,-8.08,87,100,2.57,US,1733305356
158,avarua,-21.2078,-159.775,24.03,88,75,4.12,CK,1733305357
159,afaahiti,-17.75,-149.2833,25.49,79,58,5.82,PF,1733305358
160,roma,43.2128,-75.4557,-5.36,92,100,2.57,US,1733305359
161,kapuskasing,49.4169,-82.4331,-10.95,92,100,5.66,CA,1733305360
162,puerto baquerizo moreno,-0.9,-89.6,21.44,88,81,4.86,EC,1733305361
163,dudinka,69.4058,86.1778,-12.61,89,100,8.18,RU,1733305362
164,assai,-23.3733,-50.8414,21.92,93,100,5.79,BR,1733305363
165,la malbaie,47.6575,-70.1559,-4.51,83,99,2.12,CA,1733305364
166,talnakh,69.4865,88.3972,-10.97,94,100,7.73,RU,1733305365
167,saipan,15.1355,145.701,28.39,82,0,5.66,MP,1733305366
168,hermanus,-34.4187,19.2345,22.67,66,100,5.19,ZA,1733305367
169,dryden,49.7833,-92.7503,-7.84,93,100,7.2,CA,1733305369
170,auki,-8.7676,160.7034,25.69,84,78,1.88,SB,1733305370
171,as sulayyil,20.4607,45.5779,27.1,27,5,5.67,SA,1733305371
172,carnarvon,-24.8667,113.6333,23.35,66,1,10.98,AU,1733305372
173,morondava,-20.2833,44.2833,29.78,66,53,6.78,MG,1733305373
174,lebu,-37.6167,-73.65,10.19,87,77,3.93,CL,1733305374
175,kilju,40.9642,129.3278,-2.25,42,0,2.04,KP,1733305375
176,mejit,10.2753,170.8646,27.86,82,14,8.39,MH,1733305376
177,bardsir,29.9227,56.5743,14.85,7,0,4.37,IR,1733305377
178,tangalle,6.024,80.7911,28.79,65,33,3.33,LK,1733305378
179,hamilton,39.1834,-84.5333,-4.94,85,0,4.63,US,1733304866
180,undurkhaan,47.3194,110.6556,-7.67,63,100,3.35,MN,1733305380
181,carutapera,-1.195,-46.02,27.02,76,67,3.35,BR,1733305382
182,talcahuano,-36.7167,-73.1167,9.82,87,0,5.14,CL,1733305383
183,along,28.1667,94.7667,18.46,55,1,0.25,IN,1733305384
184,tete,-16.1564,33.5867,35.05,34,40,1.03,MZ,1733305385
185,egilsstadir,65.2653,-14.3948,1.95,55,20,4.63,IS,1733305386
186,queenstown,-31.8976,26.8753,26.62,39,38,3.27,ZA,1733305387
187,pionerskiy,54.9508,20.2275,0.91,98,100,9.17,RU,1733305388
188,matabhanga,26.3333,89.2167,25.3,38,1,1.01,IN,1733305389
189,castelli,-25.9468,-60.6195,16.84,71,100,1.84,AR,1733305390
190,aleg,17.0481,-13.9209,28.31,10,100,3.58,MR,1733305391
191,vallenar,-28.5708,-70.7581,15.28,59,0,0.66,CL,1733305392
192,taraz,42.9,71.3667,3.23,75,51,2.0,KZ,1733305393
193,port lincoln,-34.7333,135.8667,19.23,60,0,2.11,AU,1733305395
194,villiers,-27.0303,28.6006,34.54,9,0,8.49,ZA,1733305132
195,poxoreo,-15.8372,-54.3892,22.25,94,100,0.66,BR,1733305397
196,otradnaya,44.3933,41.5206,3.73,68,1,2.33,RU,1733305196
197,kirensk,57.7853,108.1119,-16.61,99,97,1.21,RU,1733305400
198,port mathurin,-19.6833,63.4167,25.02,72,14,7.57,MU,1733305401
199,kirundo,-2.5833,30.1667,22.59,74,33,2.73,BI,1733305402
200,salaga,8.5508,-0.5188,32.69,14,4,3.83,GH,1733305403
201,brezina,33.0989,1.2608,16.63,33,61,5.29,DZ,1733305405
202,al jawf,29.5,38.75,17.81,37,51,1.85,SA,1733305406
203,fort abbas,29.1925,72.8536,26.71,15,0,3.71,PK,1733305407
204,tsiombe,-25.3,45.4833,36.65,31,1,4.87,MG,1733305408
205,sergeyevka,53.88,67.4158,-6.53,94,57,4.78,KZ,1733305409
206,hastings,50.8552,0.5729,6.77,51,96,4.75,GB,1733305410
207,kununurra,-15.7667,128.7333,28.99,74,96,2.06,AU,1733305172
208,harper,4.375,-7.7169,28.37,73,66,1.77,LR,1733305412
209,jaggayyapeta,16.9,80.1,31.73,54,49,2.83,IN,1733305413
210,nezhinka,51.7676,55.3694,-3.91,93,100,3.0,RU,1733305414
211,santo antonio do ica,-3.1022,-67.9397,23.22,99,100,0.74,BR,1733305415
212,ternate,0.8,127.4,27.83,79,76,4.49,ID,1733305417
213,kandalaksha,67.162,32.4123,-10.61,92,17,1.34,RU,1733305419
214,medina,24.4686,39.6142,24.24,31,0,2.57,SA,1733305420
215,vilyuysk,63.7553,121.6247,-31.23,98,59,2.1,RU,1733305421
216,kasempa,-13.4584,25.8338,32.63,16,99,1.91,ZM,1733305422
217,remire-montjoly,4.9167,-52.2667,26.02,83,40,3.09,GF,1733305423
218,pisco,-13.7,-76.2167,19.03,88,100,2.06,PE,1733305424
219,devils lake,48.1128,-98.8651,-3.01,84,100,10.29,US,1733305221
220,tosontsengel,48.7567,98.2839,-17.99,98,50,1.31,MN,1733305426
221,nuuk,64.1835,-51.7216,-3.66,86,100,2.57,GL,1733305427
